Names,Frequency,Years,Gender,Rank
NOLAN ,66,2022,M,178.0
PARKER ,66,2021,M,178.0
PARKER ,66,2022,M,178.0
BEAU ,65,2022,M,183.0
BROOKS ,65,2022,M,183.0
QUINN ,65,2021,F,183.0
AUSTIN ,64,2022,M,186.0
ELI ,64,2022,M,186.0
EMILIA ,64,2021,F,186.0
JOSEPH ,64,2021,M,186.0
JOSHUA ,64,2021,M,186.0
LUNA ,64,2022,F,186.0
WESLEY ,64,2021,M,186.0
BROOKLYN ,63,2021,F,193.0
COOPER ,63,2021,M,193.0
ELIAS ,63,2022,M,193.0
EVERLY ,63,2022,F,193.0
AUDREY ,62,2021,F,197.0
RYKER ,62,2021,M,197.0
WALKER ,62,2021,M,197.0
CLAIRE ,61,2022,F,200.0
CONNOR ,61,2021,M,200.0
ELIAS,61,2021,M,200.0
ELLIOT,61,2021,M,200.0
GEORGIA ,61,2021,F,200.0
HUNTER ,61,2022,M,200.0
MAYA ,61,2022,F,200.0
SEBASTIAN ,61,2022,M,200.0
BROOKS ,60,2021,M,208.0
CHARLIE ,60,2021,M,208.0
HAILEY ,60,2022,F,208.0
ISABELLE,60,2021,F,208.0
JAYDEN ,60,2022,M,208.0
NOLAN ,60,2021,M,208.0
ROWAN ,60,2021,M,208.0
WREN ,60,2022,F,208.0
EVERETT ,59,2022,M,216.0
KAI ,59,2022,M,216.0
KINSLEY ,59,2021,F,216.0
LUCY ,59,2021,F,216.0
MICHAEL ,59,2022,M,216.0
RHETT ,59,2021,M,216.0
WESTON ,59,2021,M,216.0
ALICE,58,2022,F,223.0
ISABELLE ,58,2022,F,223.0
JOSEPH ,58,2022,M,223.0
MADISON ,58,2022,F,223.0
ROWAN ,58,2022,M,223.0
ADDISON ,57,2021,F,228.0
DECLAN ,57,2021,M,228.0
EMILIA,57,2022,F,228.0
FREYA ,57,2022,F,228.0
NATALIE ,57,2022,F,228.0
SEBASTIAN ,57,2021,M,228.0
ALI ,56,2022,M,234.0
ARCHER ,56,2021,M,234.0
AURORA ,56,2021,F,234.0
AYLA,56,2022,F,234.0
CHARLIE ,56,2022,M,234.0
EZRA ,56,2022,M,234.0
JUDE,56,2021,M,234.0
WESTON ,56,2022,M,234.0
ALI,55,2021,M,242.0
KAI ,55,2021,M,242.0
MATEO ,55,2022,M,242.0
MATTHEW ,55,2022,M,242.0
RYAN ,55,2021,M,242.0
SLOANE ,55,2021,F,242.0
STELLA ,55,2021,F,242.0
CHARLES ,54,2021,M,249.0
SAWYER ,54,2021,M,249.0
BRIELLE ,53,2021,F,251.0
EVA ,53,2021,F,251.0
LUKA ,53,2022,M,251.0
PENELOPE ,53,2022,F,251.0
SADIE ,53,2022,F,251.0
VICTORIA ,53,2021,F,251.0
WREN ,53,2021,F,251.0
MAEVE ,52,2021,F,258.0
MYLES ,52,2021,M,258.0
SOFIA ,52,2021,F,258.0
ELIANA ,51,2022,F,261.0
MICAH,51,2021,M,261.0
NOVA ,51,2022,F,261.0
OMAR ,51,2022,M,261.0
PENELOPE ,51,2021,F,261.0
QUINN ,51,2022,F,261.0
BLAKE ,50,2022,F,267.0
CHARLIE ,50,2021,F,267.0
FREYA ,50,2021,F,267.0
GREYSON ,50,2021,M,267.0
JOSHUA ,50,2022,M,267.0
NASH ,50,2021,M,267.0
SADIE ,50,2021,F,267.0
ANDREW ,49,2021,M,274.0
BRIELLE ,49,2022,F,274.0
BROOKLYN ,49,2022,F,274.0
CONNOR ,49,2022,M,274.0
EVA,49,2022,F,274.0
FINN ,49,2022,M,274.0
ISAIAH ,49,2021,M,274.0
JAXON ,49,2022,M,274.0
LAYLA ,49,2022,F,274.0
MATEO ,49,2021,M,274.0
MAX ,49,2021,M,274.0
NOVA ,49,2021,F,274.0
OMAR,49,2021,M,274.0
PAISLEY ,49,2021,F,274.0
RUBY ,49,2022,F,274.0
SOFIA ,49,2022,F,274.0
ZOE ,49,2021,F,274.0
ALICE ,48,2021,F,291.0
ANNA ,48,2022,F,291.0
ATHENA ,48,2021,F,291.0
AUBREY ,48,2021,F,291.0
CHARLIE ,48,2022,F,291.0
CLARA ,48,2021,F,291.0
DOMINIC ,48,2021,M,291.0
ELI ,48,2021,M,291.0
GEORGIA ,48,2022,F,291.0
RYAN,48,2022,M,291.0
SILAS ,48,2022,M,291.0
ZAYN ,48,2021,M,291.0
ADDISON ,47,2022,F,303.0
FELIX ,47,2022,M,303.0
HARRISON ,47,2021,M,303.0
HARRISON ,47,2022,M,303.0
ISAIAH ,47,2022,M,303.0
KINSLEY ,47,2022,F,303.0
LEAH ,47,2021,F,303.0
MILES ,47,2022,M,303.0
NAOMI ,47,2021,F,303.0
NAOMI ,47,2022,F,303.0
NATALIE ,47,2021,F,303.0
PIPER ,47,2021,F,303.0
RUBY ,47,2021,F,303.0
RYLEE ,47,2021,F,303.0
STELLA ,47,2022,F,303.0
XAVIER ,47,2022,M,303.0
CLARA ,46,2022,F,319.0
ELENA,46,2021,F,319.0
JOHN ,46,2022,M,319.0
MARIA ,46,2022,F,319.0
ATHENA ,45,2022,F,323.0
AVERY ,45,2021,M,323.0
CARSON ,45,2022,M,323.0
DAWSON ,45,2022,M,323.0
EZEKIEL,45,2021,M,323.0
GEORGE ,45,2021,M,323.0
INDIVIDUAL ,45,2021,F,323.0
LENNON ,45,2022,F,323.0
MARCUS ,45,2021,M,323.0
NICHOLAS ,45,2021,M,323.0
ROMAN ,45,2022,M,323.0
ZOE ,45,2022,F,323.0
ATLAS ,44,2021,M,335.0
BECKETT ,44,2021,M,335.0
DAWSON ,44,2021,M,335.0
EVAN ,44,2022,M,335.0
FINN ,44,2021,M,335.0
INDIVIDUAL ,44,2021,M,335.0
JULIA,44,2021,F,335.0
JULIA,44,2022,F,335.0
MARCUS ,44,2022,M,335.0
NASH ,44,2022,M,335.0
SARAH ,44,2022,F,335.0
ZACHARY ,44,2022,M,335.0
ANDREW ,43,2022,M,347.0
ARLO ,43,2022,M,347.0
COHEN ,43,2021,M,347.0
DECLAN ,43,2022,M,347.0
FINLEY ,43,2022,M,347.0
LILLIAN ,43,2022,F,347.0
MILO ,43,2021,M,347.0
MYLES ,43,2022,M,347.0
NATHANIEL ,43,2021,M,347.0
ROSE ,43,2022,F,347.0
RYKER ,43,2022,M,347.0
AUDREY ,42,2022,F,358.0
AUGUST ,42,2022,M,358.0
BLAKE ,42,2021,F,358.0
BRODY ,42,2021,M,358.0
EVAN,42,2021,M,358.0
HAYDEN ,42,2021,M,358.0
JORDAN,42,2021,M,358.0
JORDAN ,42,2022,M,358.0
LANDON ,42,2021,M,358.0
LENNON ,42,2021,F,358.0
LUCY ,42,2022,F,358.0
MADELYN ,42,2022,F,358.0
PAISLEY ,42,2022,F,358.0
SAWYER ,42,2022,M,358.0
SILAS ,42,2021,M,358.0
ZACHARY ,42,2021,M,358.0
AXEL ,41,2021,M,374.0
CALLUM ,41,2021,M,374.0
